sweep_parameter,Lambda_over_lambda,h_over_lambda,Lambda_m,f,b_m,h_m,lambda_m,theta_rad,theta_deg,eta0_RCWA_TE,etam1_RCWA_TE,Tsum,Rsum,energy_sum,neff0_TE,neff1_TE,delta_neff_TE,phi0_TE,phi1_TE,delta_phi_TE,sin_phi0_TE,cos_phi0_TE,sin_phi1_TE,cos_phi1_TE,sin_dphi_TE,cos_dphi_TE,eta0_SMM_TE,etam1_SMM_TE,res_eta0_TE,res_etam1_TE,overlap_mode0_order0_TE,overlap_mode0_orderm1_TE,overlap_mode1_order0_TE,overlap_mode1_orderm1_TE,overlap_mode0_order1_TE,overlap_mode1_order1_TE,status
Lambda_over_lambda,0.6,2,6.384e-07,0.55,3.5112e-07,2.128e-06,1.064e-06,0.985110783337746,56.4426902380793,0.345436699391561,0.54124721776465,0.886683917156211,0.113316082843789,1,1.12839116533779,0.773044360085939,0.355346805251847,14.1797815816033,9.71436193018003,4.46541965142323,0.999092133613189,-0.0426017435352757,-0.285553541605557,-0.958362757454881,-0.969657770866086,-0.244466372736646,0.377766813631677,0.622233186368323,-0.0323301142401162,-0.0809859686036725,0.498818165270453,0.498818165368625,0.496929649907588,0.496929650677143,0.00114504655618175,0.00304814963900415,OK
Lambda_over_lambda,0.603,2,6.41592e-07,0.55,3.528756e-07,2.128e-06,1.064e-06,0.977652362998871,56.0153542308273,0.34010952623773,0.550841230939211,0.890950757176942,0.109049242823058,1,1.13150392237482,0.777716624525529,0.353787297849291,14.2188976401631,9.77307533673621,4.44582230342686,0.996661905220806,-0.0816397371482345,-0.341297912653201,-0.939955177026313,-0.964680989435454,-0.263420934289273,0.368289532855363,0.631710467144637,-0.0281800066176328,-0.0808692362054254,0.498796619959675,0.498796619944289,0.496863108669954,0.496863108471257,0.0011659499470431,0.00311417021912391,OK
Lambda_over_lambda,0.606,2,6.44784e-07,0.55,3.546312e-07,2.128e-06,1.064e-06,0.970348213496185,55.5968572913908,0.334760898998119,0.560497439138558,0.895258338136677,0.104741661863324,1,1.13456333057777,0.782297191189705,0.352266139388062,14.2573432975019,9.83063643506203,4.42670686243989,0.992787508407356,-0.119887293531522,-0.394807640862549,-0.91876380355157,-0.959469646871406,-0.281811988269591,0.359094005865204,0.640905994134796,-0.0243331068670858,-0.0804085549962378,0.498774813736419,0.498774813688248,0.496795427878555,0.496795427512407,0.00118710722695636,0.00318131962282372,OK
Lambda_over_lambda,0.609,2,6.47976e-07,0.55,3.563868e-07,2.128e-06,1.064e-06,0.963191990754593,55.186835931042,0.329375101604836,0.570197542999803,0.899572644604639,0.100427355395361,1,1.13757070106802,0.78678894209761,0.350781758970413,14.2951350296572,9.88708144167815,4.40805358797902,0.987548965684222,-0.157311920641834,-0.446010967162315,-0.895027495203883,-0.95404631901916,-0.299659175007192,0.350170412496404,0.649829587503596,-0.0207953108915683,-0.0796320445037928,0.498752745367121,0.498752745379872,0.496726592882561,0.496726593157346,0.00120851960850763,0.00324961232068157,OK
Lambda_over_lambda,0.612,2,6.51168e-07,0.55,3.581424e-07,2.128e-06,1.064e-06,0.956177769425429,54.7849506523102,0.323940821893913,0.579921001349153,0.903861823243067,0.0961381767569328,0.999999999999999,1.14052730237983,0.791194632257033,0.349332670122797,14.3322887775002,9.94244497703349,4.38984380046674,0.981024054461625,-0.193886060787449,-0.494854179436195,-0.86897603021863,-0.948431715910138,-0.316981514059972,0.341509242970014,0.658490757029986,-0.0175684210761008,-0.0785697556808326,0.498730413728217,0.49873041371902,0.496656589427571,0.496656590112393,0.00123018828603162,0.00331906290160553,OK
Lambda_over_lambda,0.615,2,6.5436e-07,0.55,3.59898e-07,2.128e-06,1.064e-06,0.949300004651058,54.390883758255,0.318450694842538,0.589645591782227,0.908096286624764,0.0919037133752359,1,1.14343436221743,0.795516897180647,0.347917465036782,14.3688199688176,9.99676015995707,4.37205980886056,0.973288211752296,-0.229586708813942,-0.541299802932754,-0.840829663692333,-0.942644840000362,-0.333797402058033,0.333101298970983,0.666898701029017,-0.0146506041284458,-0.0772531092467899,0.498707817581196,0.498707817549232,0.496585402804042,0.496585403284348,0.00125211444495707,0.00338968608257204,OK
Lambda_over_lambda,0.618,2,6.57552e-07,0.55,3.616536e-07,2.128e-06,1.064e-06,0.942553498242355,54.0043374145784,0.312900870242861,0.599347944657787,0.912248814900648,0.0877511850993516,1,1.14629306912287,0.799758259836972,0.346534809285895,14.4047435392692,10.0500586950063,4.35468484426283,0.964414463147185,-0.264395051528061,-0.585324914993776,-0.810798830714209,-0.936703130104047,-0.35012461503482,0.32493769248259,0.67506230751741,-0.0120368222397286,-0.075714362859623,0.498684955727281,0.498684955705497,0.496513018110967,0.496513017516436,0.00127429925492633,0.00346149670566356,OK
Lambda_over_lambda,0.621,2,6.60744e-07,0.55,3.634092e-07,2.128e-06,1.064e-06,0.935933368659533,53.625031929653,0.307290600155387,0.609004049124219,0.916294649279606,0.0837053507203939,1,1.14910457405989,0.803921137087653,0.345183436972239,14.4400739522919,10.1023709533605,4.33770299893144,0.954473373168588,-0.298296127886664,-0.62691958101738,-0.779083974252451,-0.93062259240014,-0.365980314381037,0.317009842809482,0.682990157190518,-0.0097192426540948,-0.0739861080662989,0.498661826995339,0.49866182702445,0.496439418822925,0.496439419020544,0.00129674387116663,0.00353450975584141,OK
Lambda_over_lambda,0.624,2,6.63936e-07,0.55,3.651648e-07,2.128e-06,1.064e-06,0.929435024284098,53.252704223118,0.301621843130778,0.618589728074887,0.920211571205665,0.0797884287943342,1,1.15186999191902,0.808007845657151,0.343862146261865,14.4748252180133,10.1537260478377,4.32109917017558,0.943533014380174,-0.33127850937642,-0.666085407605528,-0.745875478732863,-0.924417919750018,-0.381381055697643,0.309309472151178,0.690690527848822,-0.00768762902040032,-0.0721007997739344,0.498638430380838,0.498638430207379,0.496364591221646,0.496364590945902,0.00131944942743011,0.00360874030847048,OK
Lambda_over_lambda,0.627,2,6.67128e-07,0.55,3.669204e-07,2.128e-06,1.064e-06,0.923054139549439,52.8871064582626,0.29589888368929,0.628081077956132,0.923979961645422,0.0760200383545788,1,1.15459040294844,0.812020607676075,0.342569795272365,14.5090109112324,10.2041519025547,4.30485900867769,0.931658952886285,-0.363333999932336,-0.702834208144299,-0.711353692520237,-0.918102600439541,-0.396342799942365,0.301828600028818,0.698171399971182,-0.00592971633952732,-0.0700903220150504,0.498614764456226,0.498614764409138,0.496288518795067,0.496288518979119,0.0013424170615603,0.0036842035956469,OK
Lambda_over_lambda,0.63,2,6.7032e-07,0.55,3.68676e-07,2.128e-06,1.064e-06,0.91678663356334,52.5280048171861,0.290127966844759,0.637454869006031,0.92758283585079,0.0724171641492093,1,1.15726685411522,0.815961555835138,0.341305298280081,14.5426441885254,10.2536753176935,4.2889688708319,0.918914248085583,-0.394457354685279,-0.737186775580347,-0.675689024558969,-0.91168901734668,-0.410880926363643,0.294559536818179,0.705440463181821,-0.00443156997341937,-0.0679855941757903,0.498590828285714,0.49859082832387,0.496211186871793,0.496211186709719,0.00136564787628651,0.00376091495107997,OK
Lambda_over_lambda,0.633,2,6.73512e-07,0.55,3.704316e-07,2.128e-06,1.064e-06,0.910628650910132,52.1751784008425,0.284316948462431,0.646688901729747,0.931005850192178,0.0689941498078215,1,1.15990036040073,0.819832738182945,0.34006762221779,14.5757378045244,10.3023220297918,4.27341577473263,0.9053594647578,-0.424646016787478,-0.769171756847584,-0.639042102265571,-0.905188538435609,-0.425010246799775,0.287494876600113,0.712505123399887,-0.00317792813768181,-0.0658162216701401,0.498566620779266,0.498566620831518,0.496132578845342,0.496132579405649,0.00138914296627579,0.00383888985591152,OK
Lambda_over_lambda,0.636,2,6.76704e-07,0.55,3.721872e-07,2.128e-06,1.064e-06,0.904576544365571,51.8284182386757,0.27847496297234,0.655762316059295,0.934237279031635,0.0657627209683658,1,1.16249190603429,0.823636122597509,0.33885578343678,14.6083041274197,10.3501167679341,4.25818735948561,0.891052695758021,-0.453899871538166,-0.79882462322981,-0.601563979408468,-0.898611599388373,-0.438745020991316,0.280627489504342,0.719372510495658,-0.0021525265320021,-0.063610194436363,0.498542140858399,0.498542140831743,0.496052680218214,0.496052679969296,0.00141290341135048,0.0039181438885814,OK
Lambda_over_lambda,0.639,2,6.79896e-07,0.55,3.739428e-07,2.128e-06,1.064e-06,0.898626859295381,51.4875263947218,0.272612110400724,0.664655850607593,0.937267961008317,0.0627320389916825,1,1.16504244566833,0.827373600958436,0.337668844709893,14.6403551537276,10.3970833061806,4.24327184754701,0.876049593771882,-0.482221017016182,-0.826186730889206,-0.563396384176015,-0.891967779104612,-0.45209897261461,0.273950513692695,0.726049486307305,-0.00133840329197088,-0.0613936356997118,0.498517387369461,0.498517387331645,0.49597147420704,0.495971473331786,0.0014369302802667,0.00399869278002847,OK
Lambda_over_lambda,0.642,2,6.83088e-07,0.55,3.756984e-07,2.128e-06,1.064e-06,0.892776319540235,51.1523151588784,0.266739164810555,0.673352050644878,0.940091215455433,0.0599087845445683,1,1.16755290549863,0.831046993044126,0.336505912454503,14.6719025223676,10.4432445125413,4.22865800982639,0.860403410748276,-0.509613550421036,-0.851304465823037,-0.524671998938149,-0.885265868727861,-0.465085305794008,0.267457347102996,0.732542652897004,-0.000718182292441305,-0.0591906022521257,0.498492359193839,0.498492359334715,0.495888944051813,0.495888944143964,0.00146122462617658,0.00408055238517364,OK
Lambda_over_lambda,0.645,2,6.8628e-07,0.55,3.77454e-07,2.128e-06,1.064e-06,0.887021814616754,50.8226063135757,0.260867306215118,0.681835424649553,0.942702730864671,0.0572972691353286,1,1.1700241843325,0.834658050175983,0.335366134156516,14.7029575280855,10.4886223947698,4.21433513331568,0.844165043774822,-0.536083369326687,-0.874228467612422,-0.485514764364624,-0.878513934792159,-0.477716721892796,0.261141639053602,0.738858360946398,-0.000274332838483882,-0.057022936296845,0.498467055503923,0.498467055586179,0.495805075200471,0.495805074592055,0.00148578747266862,0.00416373865329355,OK
Lambda_over_lambda,0.648,2,6.89472e-07,0.55,3.792096e-07,2.128e-06,1.064e-06,0.881360388086775,50.4982304673845,0.255007877702137,0.690092550627483,0.94510042832962,0.054899571670379,0.999999999999999,1.17245715460791,0.8382084586296,0.33424869597831,14.73353113426,10.5332381432303,4.20029299102971,0.827383086296537,-0.561637987061432,-0.895012926480568,-0.44604020158803,-0.871719377024741,-0.490005436418411,0.254997281790795,0.745002718209205,1.05959113425591e-05,-0.0549101675817226,0.49844147515549,0.498441475180501,0.495719850102908,0.495719849603319,0.00151061984424326,0.00424826769685013,OK
Lambda_over_lambda,0.651,2,6.92664e-07,0.55,3.809652e-07,2.128e-06,1.064e-06,0.875789226966417,50.1790264482007,0.249172169109626,0.698112134565506,0.947284303675133,0.0527156963248673,1,1.17485266336622,0.841699842830998,0.333152820535227,14.7636339851269,10.5771121710622,4.18652181406475,0.810103883700747,-0.586286361442058,-0.91371494837042,-0.406355747005553,-0.864888981288628,-0.501963195907349,0.249018402046325,0.750981597953675,0.000153767063300864,-0.0528694633881682,0.498415617138489,0.498415617110073,0.495633252990884,0.49563325206642,0.0015357227441466,0.00433415572774124,OK
Lambda_over_lambda,0.654,2,6.95856e-07,0.55,3.827208e-07,2.128e-06,1.064e-06,0.870305652062901,49.8648407495853,0.243371228083667,0.705885024430113,0.94925625251378,0.0507437474862206,1,1.17721153318105,0.845133768354368,0.332077764826679,14.793276417451,10.620264151851,4.17301226560005,0.792371592402547,-0.610038736108988,-0.930393982972013,-0.366561095111679,-0.858028968102117,-0.513601294680627,0.243199352659687,0.756800647340313,0.000171875423980256,-0.0509156229102006,0.49838948039825,0.498389480445289,0.495545266302692,0.495545266407028,0.00156109716309226,0.00442141910573678,OK
Lambda_over_lambda,0.657,2,6.99048e-07,0.55,3.844764e-07,2.128e-06,1.064e-06,0.864907109141094,49.5555270246456,0.237615698755273,0.713404184007025,0.951019882762298,0.0489801172377013,1,1.17953456304558,0.848511744736296,0.331022818309284,14.822468471677,10.6627130549928,4.15975541668415,0.774228241665503,-0.632906493731534,-0.945111309869049,-0.326748545455998,-0.851145037130395,-0.52493059138166,0.23753470430917,0.76246529569083,8.09944461031553e-05,-0.0490611116838049,0.498363064130459,0.498363064039314,0.4954558750791,0.495455874192367,0.00158674406287031,0.00451007427719992,OK
Lambda_over_lambda,0.66,2,7.0224e-07,0.55,3.86232e-07,2.128e-06,1.064e-06,0.85959116083383,49.2509456225296,0.2319156877307,0.720664631480137,0.952580319210837,0.0474196807891627,1,1.18182252922067,0.851835228120086,0.329987301100584,14.8512199025863,10.7044771789242,4.14674272366207,0.755713797483314,-0.654902020376597,-0.957929578225018,-0.287003350436262,-0.844242408006688,-0.535961525226456,0.232019237386772,0.767980762613228,-0.000103549656072066,-0.0473161311330907,0.498336367172837,0.498336367136207,0.495365060956415,0.49536506013805,0.00161266441046914,0.00460013785883345,OK
Lambda_over_lambda,0.663,2,7.05432e-07,0.55,3.879876e-07,2.128e-06,1.064e-06,0.85435547922038,48.9509631632047,0.22628065653439,0.72766334806664,0.95394400460103,0.0460559953989702,1,1.18407618604564,0.855105623742666,0.328970562302975,14.8795401894864,10.7455741823731,4.13396600711332,0.736866227929898,-0.676038580360887,-0.968912395685927,-0.247404061175555,-0.837325857806549,-0.546704131910969,0.226647934044515,0.773352065955485,-0.000367277510125386,-0.0456887178888443,0.498309388751555,0.498309388625729,0.495272806956267,0.495272807318874,0.0016388591352667,0.00469162657107496,OK
Lambda_over_lambda,0.666,2,7.08624e-07,0.55,3.897432e-07,2.128e-06,1.064e-06,0.849197839006438,48.6554521466988,0.220719339162541,0.734399162202553,0.955118501365093,0.0448814986349064,1,1.18629626671384,0.858324288275409,0.32797197843843,14.9074385459568,10.7860211137749,4.12141743218193,0.717721569459284,-0.696330200934085,-0.978123962434429,-0.208022869203294,-0.830399755468421,-0.557168059132957,0.221415970433521,0.778584029566479,-0.000696631270980907,-0.0441848673639259,0.498282127773733,0.498282127749802,0.495179097228075,0.495179097427174,0.00166532917054354,0.00478455723917732,OK
Lambda_over_lambda,0.669,2,7.11816e-07,0.55,3.914988e-07,2.128e-06,1.064e-06,0.844116111246706,48.3642905934317,0.215239683024292,0.740872614722678,0.95611229774697,0.0438877022530307,1,1.18848348401475,0.861492532029327,0.326990951985426,14.9349239291742,10.8258344389832,4.10908949019099,0.698313993702894,-0.715791566169031,-0.985628746585656,-0.168925942069265,-0.823468093426178,-0.567362581696269,0.216318709151866,0.783681290848134,-0.00107902612757355,-0.042808676125456,0.498254583554545,0.498254583376437,0.495083914152567,0.495083913669267,0.00169207540943571,0.0048789468360954,OK
Lambda_over_lambda,0.672,2,7.15008e-07,0.55,3.932544e-07,2.128e-06,1.064e-06,0.839108257557889,48.0773617126435,0.209848811217437,0.747085810293198,0.956934621510635,0.0430653784893653,1,1.19063853104438,0.864611621034133,0.32602691001025,14.9620050488399,10.8650300673968,4.09697498144313,0.67867587437146,-0.734437919463677,-0.991491197365249,-0.130173751375705,-0.816534516694603,-0.577296616174312,0.211351691912844,0.788648308087156,-0.00150288069540713,-0.0415624977939582,0.49822675491914,0.4982267548978,0.494987239687692,0.494987239420453,0.00171909876006882,0.0049748124630206,OK
Lambda_over_lambda,0.675,2,7.182e-07,0.55,3.9501e-07,2.128e-06,1.064e-06,0.834172324775768,47.7945535962677,0.204553003886954,0.75304225998616,0.957595263873115,0.0424047361268866,1,1.19276208188551,0.867682778999947,0.325079302885566,14.988690375728,10.9036233766104,4.08506699911754,0.658837853922051,-0.752284974088534,-0.995775492752962,-0.0918213920205777,-0.809602349626631,-0.586978735116561,0.206510632441719,0.793489367558281,-0.00195762855476497,-0.0404471075721204,0.498198641256426,0.498198641176398,0.494889056877054,0.494889056717723,0.00174640007981923,0.00507217132551177,OK
Lambda_over_lambda,0.678,2,7.21392e-07,0.55,3.967656e-07,2.128e-06,1.064e-06,0.829306440015119,47.5157589358855,0.199357696288388,0.758746719429189,0.958104415717577,0.0418955842824237,1,1.19485479225938,0.870707189169676,0.324147603089701,15.0149881498745,10.9416292356931,4.07335891418139,0.638828909698623,-0.769348831241895,-0.998545318509223,-0.0539188917107438,-0.802674620540868,-0.596417180788392,0.201791409605804,0.798208590394196,-0.0024337133174161,-0.039461870965007,0.498170241554848,0.498170241509729,0.494789348263485,0.494789347845923,0.00177398023617763,0.00517104075735129,OK
Lambda_over_lambda,0.681,2,7.24584e-07,0.55,3.985212e-07,2.128e-06,1.064e-06,0.824508806095718,47.240874760655,0.194267491138126,0.764205026434172,0.958472517572298,0.0415274824277018,1,1.19691730015017,0.873685996069444,0.323231304080727,15.0409063884252,10.9790620271842,4.06184436124104,0.61867641929695,-0.785645905103505,-0.999863675726067,-0.0165115100326365,-0.7957540844001,-0.605619878439074,0.197190060780463,0.802809939219537,-0.0029225696423377,-0.0386049127853645,0.498141555052772,0.498141554979888,0.494688095645126,0.49468809558376,0.00180184006473213,0.00527143822390028,OK
