sweep_parameter,Lambda_over_lambda,h_over_lambda,Lambda_m,f,b_m,h_m,lambda_m,theta_rad,theta_deg,eta0_RCWA_TE,etam1_RCWA_TE,Tsum,Rsum,energy_sum,neff0_TE,neff1_TE,delta_neff_TE,phi0_TE,phi1_TE,delta_phi_TE,sin_phi0_TE,cos_phi0_TE,sin_phi1_TE,cos_phi1_TE,sin_dphi_TE,cos_dphi_TE,eta0_SMM_TE,etam1_SMM_TE,res_eta0_TE,res_etam1_TE,overlap_mode0_order0_TE,overlap_mode0_orderm1_TE,overlap_mode1_order0_TE,overlap_mode1_orderm1_TE,overlap_mode0_order1_TE,overlap_mode1_order1_TE,status
h_over_lambda,1,0.5,1.064e-06,0.55,5.852e-07,5.32e-07,1.064e-06,0.523598775598299,30,0.809175906638015,0.149379210687703,0.958555117325718,0.0414448826742824,1,1.31876542009011,1.05467795403357,0.264087466056541,4.14302375556336,3.31336851229498,0.829655243268373,-0.842243350551828,-0.539097522208394,-0.170932340662127,-0.985282769013935,0.737698659299046,0.675130126766974,0.837565063383487,0.162434936616513,-0.0283891567454714,-0.0130557259288107,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.5185,1.064e-06,0.55,5.852e-07,5.51684e-07,1.064e-06,0.523598775598299,30,0.798612726465077,0.161593011942982,0.960205738408059,0.0397942615919414,1,1.31876542009011,1.05467795403357,0.264087466056541,4.2963156345192,3.4359631472499,0.860352487269303,-0.914683031193345,-0.40417193426431,-0.29013747954187,-0.956984975307915,0.758072491712123,0.652170297782238,0.826085148891119,0.173914851108881,-0.0274724224260425,-0.0123218391658989,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.537,1.064e-06,0.55,5.852e-07,5.71368e-07,1.064e-06,0.523598775598299,30,0.787952117726933,0.174186155131738,0.96213827285867,0.0378617271413299,1,1.31876542009011,1.05467795403357,0.264087466056541,4.44960751347504,3.55855778220481,0.891049731270233,-0.9656711797446,-0.259767535713515,-0.404987471990492,-0.914322233969376,0.777732032750109,0.628595963425143,0.814297981712571,0.185702018287429,-0.0263458639856385,-0.011515863155691,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.5555,1.064e-06,0.55,5.852e-07,5.91052e-07,1.064e-06,0.523598775598299,30,0.777198358063944,0.18704238960126,0.964240747665204,0.0357592523347965,1,1.31876542009011,1.05467795403357,0.264087466056541,4.60289939243089,3.68115241715973,0.921746975271163,-0.994012000648477,-0.109270959393667,-0.513758347235525,-0.857934939634598,0.796658758273486,0.60442933653666,0.80221466826833,0.19778533173167,-0.0250163102043856,-0.01074294213041,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.574,1.064e-06,0.55,5.852e-07,6.10736e-07,1.064e-06,0.523598775598299,30,0.766359479130863,0.200042113979202,0.966401593110064,0.033598406889936,1,1.31876542009011,1.05467795403357,0.264087466056541,4.75619127138673,3.80374705211464,0.952444219272093,-0.999040833024265,0.0437882855359935,-0.614817385885179,-0.788669501130426,0.814834834635806,0.579693188043502,0.789846594021751,0.210153405978249,-0.0234871148908883,-0.0101112919990473,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.5925,1.064e-06,0.55,5.852e-07,6.3042e-07,1.064e-06,0.523598775598299,30,0.755442002849356,0.213071099626166,0.968513102475522,0.0314868975244784,1,1.31876542009011,1.05467795403357,0.264087466056541,4.90948315034258,3.92634168706955,0.983141463273023,-0.980639738574865,0.195820589131531,-0.706647628075451,-0.707565636344317,0.832243135487383,0.554410825502288,0.777205412751144,0.222794587248856,-0.021763409901788,-0.00972348762269024,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.611,1.064e-06,0.55,5.852e-07,6.50104e-07,1.064e-06,0.523598775598299,30,0.744444783674507,0.226029271984667,0.970474055659175,0.0295259443408247,1,1.31876542009011,1.05467795403357,0.264087466056541,5.06277502929842,4.04893632202447,1.01383870727395,-0.939240267525454,0.343260425710151,-0.787870643993773,-0.615840765403555,0.848867257912549,0.528606071138073,0.764303035569037,0.235696964430963,-0.0198582518945294,-0.00966769244629578,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.6295,1.064e-06,0.55,5.852e-07,6.69788e-07,1.064e-06,0.523598775598299,30,0.733353428507176,0.238838741978225,0.9721921704854,0.0278078295146,1,1.31876542009011,1.05467795403357,0.264087466056541,5.21606690825426,4.17153095697938,1.04453595127488,-0.875813337725657,0.482649974061788,-0.857267224979271,-0.514871736431842,0.864691537885242,0.502303239397931,0.751151619698965,0.248848380301035,-0.0177981911917896,-0.0100096383228101,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.648,1.064e-06,0.55,5.852e-07,6.89472e-07,1.064e-06,0.523598775598299,30,0.722136634041418,0.251450310314004,0.973586944355423,0.0264130556445778,1,1.31876542009011,1.05467795403357,0.264087466056541,5.36935878721011,4.2941255919343,1.07523319527581,-0.79184646427479,0.610720211729982,-0.913795684613188,-0.406174158191182,0.879701065028386,0.475527114040748,0.737763557020374,0.262236442979626,-0.015626922978956,-0.0107861326656215,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.6665,1.064e-06,0.55,5.852e-07,7.09156e-07,1.064e-06,0.523598775598299,30,0.710745348148337,0.26384776213359,0.974593110281927,0.025406889718073,1,1.31876542009011,1.05467795403357,0.264087466056541,5.52265066616595,4.41672022688921,1.10593043927674,-0.68930887369059,0.724467581504797,-0.956607495088566,-0.291379649839138,0.89388169666315,0.448302924784802,0.724151462392401,0.275848537607599,-0.0134061142440638,-0.012000775474009,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
